GENE,ATGENE,EVALUE,BITSCORE,Names,Description,DNA damage response GO:0006974,DNA metabolic process GO:0006259,biological process involved in interspec... GO:0044419,cell cycle GO:0007049,cell cycle process GO:0022402,cell death GO:0008219,cell recognition GO:0008037,cellular response to ionizing radiation GO:0071479,cellular response to iron ion GO:0071281,cellular response to stress GO:0033554,coumarin biosynthetic process GO:0009805,coumarin metabolic process GO:0009804,defense response GO:0006952,defense response to Gram-negative bacter... GO:0050829,defense response to bacterium GO:0042742,defense response to other organism GO:0098542,defense response to symbiont GO:0140546,detection of bacterium GO:0016045,detection of biotic stimulus GO:0009595,detection of external biotic stimulus GO:0098581,detection of other organism GO:0098543,double-strand break repair GO:0006302,immune response GO:0006955,immune response-activating signaling pat... GO:0002757,immune response-regulating signaling pat... GO:0002764,immune system process GO:0002376,innate immune response GO:0045087,innate immune response-activating signal... GO:0002758,mitotic cytokinesis GO:0000281,negative regulation of cell cycle GO:0045786,negative regulation of cell cycle proces... GO:0010948,pathogen-associated molecular pattern re... GO:0140426,pattern recognition receptor signaling p... GO:0002221,phosphate-containing compound metabolic ... GO:0006796,phosphorus metabolic process GO:0006793,phosphorylation GO:0016310,plant-type hypersensitive response GO:0009626,programmed cell death GO:0012501,protein desumoylation GO:0016926,protein phosphorylation GO:0006468,recognition of pollen GO:0048544,regulation of cell cycle GO:0051726,regulation of cell cycle process GO:0010564,regulation of defense response GO:0031347,regulation of immune response GO:0050776,regulation of immune system process GO:0002682,regulation of innate immune response GO:0045088,regulation of response to biotic stimulu... GO:0002831,regulation of response to external stimu... GO:0032101,regulation of response to stimulus GO:0048583,regulation of response to stress GO:0080134,response to bacterium GO:0009617,response to biotic stimulus GO:0009607,response to external biotic stimulus GO:0043207,response to external stimulus GO:0009605,response to oomycetes GO:0002239,response to other organism GO:0051707,response to stress GO:0006950,sideretin biosynthesis GO:0106146,symbiont-induced defense-related program... GO:0034050
Manes.01G145000.1,AT5G45600,1.69e-80,241,GAS41; GLIOMAS 41; HOMOLOG OF YEAST YAF9 A; YAF9AGAS41; GLIOMAS 41; HOMOLOG OF YEAST YAF9 A; TAF14B; TBP-ASSOCIATED FACTOR 14B; YAF9A,"The GSA41 human homolog is expressed in nuclei and binds NuMA, a component of the nuclear matrix in interphase nuclei.  It negatively regulates flowering by controlling the H4 acetylation levels in the FLC and FT chromatin.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"","","","","","","","","",""
Manes.01G148500.3,AT5G66130,0,624,ATRAD17; RAD17; RADIATION SENSITIVE 17,Encodes a homolog to yeast RAD17. Involved in the regulation of DNA damage repair and homologous recombination.  Mutant has increased sensitivity to MMS and increased telomere lengths.,X,X,"",X,X,"","","","",X,"","",X,"","","","","","","","","","","","","","","","",X,X,"","","","","","","","","","",X,X,X,"","","","","",X,X,"","","","","","",X,"",""
Manes.01G151500.2,AT5G66050,6.91e-88,267,"",Wound-responsive family protein;(source:Araport11),"","",X,"","","","","","","","","",X,"","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,X,X,"",X,X,"",""
Manes.01G153401.1,AT3G51430,1.91e-56,185,YELLOW-LEAF-SPECIFIC GENE 2; YLS2SSL5; STRICTOSIDINE SYNTHASE-LIKE 5; YELLOW-LEAF-SPECIFIC GENE 2; YLS2,"Although this enzyme is predicted to encode a strictosidine synthase (SS), it lacks a conserved catalytic glutamate residue found in active SS enzymes and it is not expected to have SS activity.","","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,X,X,"",X,X,"",""
Manes.01G153700.2,AT5G66030,0,880,ATGRIP; GRIP,"Involved in golgi protein trafficking. AtARL1 binds directly to the GRIP domain of AtGRIP in a GTP-dependent manner. Localized to the golgi apparatus, tyrosine 717 in  AtGRIP is crucial for Golgi localization.","",X,"",X,X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Manes.01G180800.1,AT3G56630,1.1e-135,401,"CYP94D2; CYTOCHROME P450, FAMILY 94, SUBFAMILY D, POLYPEPTIDE 2",member of CYP94D,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"",""
Manes.01G182400.1,AT1G50420,0,637,SCARECROW-LIKE 3; SCL-3; SCL3,Encodes a scarecrow-like protein (SCL3) Putative transcription factors interacting with the gene product of VHA-B1 (vacuolar ATPase subunit B1; as shown through yeast two-hybrid assay).,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"","","","","","","",X,"",""
Manes.01G187800.3,AT1G14340,5.73e-107,312,BPA1-LIKE 3; BPL3,"ACD11 binding partner, negatively regulates ROS-mediated defense response.","","",X,"","",X,"","","",X,"","",X,"","",X,X,"","","","","",X,"","",X,X,"","","","","","","","","",X,X,"","","","","",X,X,X,X,X,X,X,X,"",X,X,X,"",X,X,"",X
Manes.01G196700.2,AT1G10520,0,763,ATPOL{LAMBDA}; DNA POLYMERASE {LAMBDA}; POL{LAMBDA},Encodes a homolog of the mammalian DNA polymerase lambda that is involved in the repair of UV-B induced DNA damage.,X,X,"","","","","","","",X,"","","","","","","","","","","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"",""
Manes.01G199500.1,AT1G06450,1.15e-51,172,CAF1G; CCR4-ASSOCIATED FACTOR 1G,Deadenylase.,"","",X,"","","","","","","","","",X,"",X,X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,X,X,X,"",X,X,"",""
Manes.01G199500.1,AT1G61470,3.16e-52,172,CAF1E; CCR4-ASSOCIATED FACTOR 1E,Deadenylase.,"","",X,"","","","","","","","","",X,"",X,X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,X,X,X,"",X,X,"",""
Manes.01G204100.1,AT4G02670,2.34e-136,397,ATIDD12; IDD12; INDETERMINATE(ID)-DOMAIN 12,indeterminate(ID)-domain 12;(source:Araport11),"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"","","","","","","","","",""
Manes.01G211600.1,AT1G23160,1.81e-70,231,GH3.7; GRETCHEN HAGEN 3.7,"Acyl acid amido synthetase involved in conjugation of an amino acid to a plant hormone, a reaction that regulates free hormone concentration and downstream responses. Can also conjugate chorismate, a precursor of aromatic amino acids and salicylic acid, to cysteine and glutamate, respectively.","","",X,"","",X,"","","",X,"","",X,"",X,X,X,"","","","","",X,"","",X,X,"","","","","","","","","",X,X,"","","","","",X,X,X,X,X,X,X,X,X,X,X,X,"",X,X,"",X
Manes.01G215900.2,AT1G02970,0,557,ATWEE1; WEE1; WEE1 KINASE HOMOLOG,"Encodes a protein kinase that negatively regulates the entry into mitosis. It directly interacts with and phosphorylates the E3 ubiquitin ligase FBL17. Unphosphorylated FBL17 promotes the degradation of CDK inhibitors. When phosphorylated, FBL17 is further polyubiquitinated and degraded, thereby leading to the accumulation of CDK inhibitors and the inhibition of CDKs, regulating replication stress responses.","","","",X,X,"","","","","","","","","","","","","","","","","","","","","","","","",X,X,"","","","","","","","","","",X,X,"","","","","","","","","","","","","","","","",""
Manes.01G216200.4,AT3G62760,7.14e-99,286,ATGSTF13,Encodes glutathione transferase belonging to the phi class of GSTs. Naming convention according to Wagner et al. (2002).,"","",X,"","","","","","",X,"","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,X,X,X,X,X,"",""
Manes.01G217400.2,AT1G02880,5.67e-133,377,THIAMIN PYROPHOSPHOKINASE1; TPK1,Encodes a thiamine pyrophosphokinase capable of producing thiamine pyrophosphate from free thiamine.,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,X,"","","","","","","","","","","","","","","","","","","","","","","","",""
Manes.01G218000.4,AT1G02860,3.24e-163,457,BAH1; BENZOIC ACID HYPERSENSITIVE 1; NITROGEN LIMITATION ADAPTATION; NLA; SYG1NITROGEN LIMITATION ADAPTATION; NLA; SYG1SYG1,"Encodes a ubiquitin E3 ligase with RING and SPX domains that is involved in mediating immune responses and mediates degradation of PHT1s at plasma membranes.  Targeted by MIR827. Ubiquitinates PHT1;3, PHT1;2, PHT1;1/AtPT1 and PHT1;4/AtPT2.","","",X,"","",X,"","","",X,"","",X,"",X,X,X,"","","","","",X,"","",X,X,"","","","","","","","","",X,X,"","","","","","","","","","","","","",X,X,X,X,"",X,X,"",X
Manes.01G222300.1,AT2G47540,1.18e-41,142,"",Pollen Ole e 1 allergen and extensin family protein;(source:Araport11),"","","","","","","","","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"","",X,"",""
Manes.01G226600.2,AT4G02110,7.14e-118,399,BCP1; BRCT5 DOMAIN CONTAINING PROTEIN 1; DDRM2; DNA DAMAGE RESPONSE MUTANT 2,Encodes a multi-BRCT domain protein that promotes the recruitment of RAD51 to DNA damage sites to facilitate homologous recombination.,X,X,"","","","","","","",X,"","","","","","","","","","","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"",""
Manes.01G228500.3,AT2G34830,1.34e-33,125,ABNORMAL THERMOMORPHOGENESIS 2; ABT2; ATWRKY35; MATERNAL EFFECT EMBRYO ARREST 24; MEE24; WRKY DNA-BINDING PROTEIN 35; WRKY35ABNORMAL THERMOMORPHOGENESIS 2; ABT2,member of WRKY Transcription Factor; Group II-e. Involved in thermomorphogenesis.,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"","","","","","","",X,"",""
Manes.01G234400.3,AT1G02520,0,1929,ABCB11; ATP-BINDING CASSETTE B11; MDR8; MULTI-DRUG RESISTANCE 8; P-GLYCOPROTEIN 11; PGP11,Encodes an ATP-binding cassette (ABC) transporter.  Expressed in the vascular tissue of primary stem.The mRNA is cell-to-cell mobile.Encodes an ATP-binding cassette (ABC) transporter.  Expressed in the vascular tissue of primary stem. The mRNA is cell-to-cell mobile.,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"","","","",X,"","","","",""
Manes.01G240900.2,AT4G00830,0,632,LHP1-INTERACTING FACTOR 2; LIF2,Encodes a heterogeneous nuclear ribonucleoprotein (hnRNP-Q) that is involved in the plant innate immune response and may function as a suppressor of cell-autonomous immunity.,"","",X,"","","","","","","","","",X,"",X,X,X,"","","","","",X,"","",X,X,"","","","","","","","","","","","","","","","",X,X,X,X,X,X,X,X,X,X,X,X,"",X,X,"",""
Manes.01G244200.2,AT2G46570,0,823,LAC6; LACCASE 6,"putative laccase,  a member of laccase family of genes (with 17 members in Arabidopsis).","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"","",X,"",""
Manes.01G244400.2,AT4G10840,0,809,CMU1; KINESIN LIGHT CHAIN-RELATED 1; KLCR1,CMU1 and CMU2 along with FRA1 contributes to lateral stability of cortical microtubules.,"","","","","","","","","","","","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"","","","","",X,X,"","","","","","",X,"",""
Manes.01G251400.1,AT2G46210,0,722,ATSLD2; SLD2; SPHINGOID LCB DESATURASE 2,Fatty acid/sphingolipid desaturase;(source:Araport11),"","","","","","","","","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"",""
Manes.01G257800.2,AT1G01710,0,612,"",acyl-CoA thioesterase II;(source:Araport11),"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,X,"","","","","","","","","","","","","","","","","","","","","","","","",""
Manes.01G259600.3,AT4G00660,0,857,ATRH8; RH8; RNAHELICASE-LIKE 8,Immunoprecipitation with mRNA decapping complex members DCP1 and DCP2.,"","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Manes.01G260000.1,AT3G61220,2.34e-140,397,SDR1; SHORT-CHAIN DEHYDROGENASE/REDUCTASE 1,"CytADR/SDR1 is an aldehyde reductase that catalyzes the reduction of the aldehyde carbonyl groups on alpha,beta-unsaturated aldehydes with more than 5 carbons in vitro. It can also act on menthone and neomenthol in vitro, but these do not represent likely endogenous activities of this enzyme in planta. GFP-tagged CytADR appears to localize to the cytosol where it likely plays a role in detoxifying reactive carbonyls. sdr1 mutants have altered responses to pathogens.The mRNA is cell-to-cell mobile.CytADR/SDR1 is an aldehyde reductase that catalyzes the reduction of the aldehyde carbonyl groups on alpha,beta-unsaturated aldehydes with more than 5 carbons in vitro. It can also act on menthone and neomenthol in vitro, but these do not represent likely endogenous activities of this enzyme in planta. GFP-tagged CytADR appears to localize to the cytosol where it likely plays a role in detoxifying reactive carbonyls. sdr1 mutants have altered responses to pathogens. The mRNA is cell-to-cell mobile.","","","","","","","","","","","","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"",""
Manes.01G260800.2,AT2G45760,5.4e-35,124,BAL; BAP2; BON ASSOCIATION PROTEIN 1-LIKE; BON ASSOCIATION PROTEIN 2,encodes a protein that is similar to BONZAI1-binding protein BAP1.,"","","","","","","","","","","","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"","","","","",X,X,"","","","","","",X,"",""
Manes.01G262300.10,AT2G06850,5.75e-26,102,ENDOXYLOGLUCAN TRANSFERASE; ENDOXYLOGLUCAN TRANSFERASE A1; EXGT-A1; EXT; XTH4; XYLOGLUCAN ENDOTRANSGLUCOSYLASE/HYDROLASE 4,endoxyloglucan transferase (EXGT-A1) gene,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"","",X,"",""
Manes.01G262600.1,AT4G16110,1.93e-56,198,ARR2; RESPONSE REGULATOR 2; RR2,Encodes a pollen-specific transcription factor involved in the expression of nuclear genes for components of mitochondrial complex I in Arabidopsis. Acts in concert with other type-B ARRs in the cytokinin signaling pathway. AHK3 mediates cytokinin-induced phosphorylation of ARR2 on the Asp-80 residue. This phosphorylation plays a positive role of ARR2 in cytokinin-mediated control of leaf longevity. Also involved in cytokinin-dependent inhibition of hypocotyl elongation.,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"","","","","","","",X,"",""
Manes.01G267300.5,AT4G08900,0,619,ARGAH1; ARGININE AMIDOHYDROLASE 1,"Encodes an arginase, likely to be involved in polyamine biosynthesis in pollen.","","",X,"","","","","","","","","",X,"","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,X,X,"",X,X,"",""
Manes.02G000500.1,AT5G54160,4.61e-46,153,ATCOMT; ATOMT1; CAFFEATE O-METHYLTRANSFERASE 1; COMT1; O-METHYLTRANSFERASE 1; O-METHYLTRANSFERASE 3; OMT1; OMT3,A caffeic acid/5-hydroxyferulic acid O-methyltransferase. Interacts with 14-4-3 proteins in yeast 2 hybrid assay.  AtOMT1 (At5g54160) encodes a flavonol 3?-O-methyltransferase that is highly active towards quercetin and myricetin. The substrate specificity identifies the enzyme as flavonol 3?-methyltransferase which replaces the former annotation of the gene to encode a caffeic acid/5-hydroxyferulic acid O-methyltransferase The mRNA is cell-to-cell mobile.,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"",""
Manes.02G001200.3,AT4G13510,1.45e-125,363,AMMONIUM TRANSPORTER 1;1; AMT1;1; ARABIDOPSIS THALIANA AMMONIUM TRANSPORT 1; ATAMT1; ATAMT1;1,Encodes a plasma membrane localized ammonium transporter.  Contains a cytosolic trans-activation domain essential for ammonium uptake. The mRNA is cell-to-cell mobile.,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"",""
Manes.02G002000.3,AT1G02800,0,603,ATCEL2; CEL2; CELLULASE 2,"Encodes a protein with similarity to endo-1,4-b-glucanases and is a   member of Glycoside Hydrolase Family 9. CEL2 is induced by nemotodes and is expressed in syncitia induced by  Heterodera schachtii.May be involved in the development and function of syncitia.","","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,X,X,"",X,"","",""
Manes.02G002700.2,AT5G55040,1.24e-34,142,BRD13; BROMODOMAIN-CONTAINING PROTEIN 13,"DNA-binding bromodomain-containing protein,  interacts with core SWI/SNF complex components.Identified as a specific subunit of BRM-associated SWI/SNF (BAS) complexes (PMID:36471048).","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"","","","","","","","","",""
Manes.02G004300.1,AT5G41990,1.07e-131,392,ATWNK8; EIP1; EMF1-INTERACTING PROTEIN 1; WITH NO LYSINE (K) KINASE 8; WNK8,"Encodes a member of the WNK family (9 members in all) of protein kinases, the structural design of which is clearly distinct from those of other known protein kinases, such as receptor-like kinases and mitogen-activated protein kinases. Interacts specifically with and phosphorylates AtVHA-C, subunit C of the vacuolar H+-ATPase.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,X,X,"","","",X,"","","","","","","","","","","","","","","","","","","",""
Manes.02G007166.1,AT4G23990,2.74e-113,343,ARABIDOPSIS THALIANA CELLULOSE SYNTHASE-LIKE G3; ATCSLG3; CELLULOSE SYNTHASE LIKE G3; CSLG3,encodes a protein similar to cellulose synthase,"","","",X,X,"","","","","","","","","","","","","","","","","","","","","","","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
